	fosinopril_sodium	nifedipine	guanfacine_hydrochloride	timolol_maleate	indapamide	telmisartan	bisoprolol_fumarate_hydrochlorothiazide	hydrochlorothiazide_valsartan	ramipril	hydrochlorothiazide_telmisartan	clonidine	valsartan	hydrochlorothiazide_losartan_potassium	irbesartan	propranolol_hydrochloride	metoprolol_tartrate	captopril	torsemide	doxazosin_mesylate	lisinopril	amlodipine_besylate_olmesartan_medoxomil	benazepril_hydrochloride	hydrochlorothiazide_olmesartan_medoxomil	hydrochlorothiazide_triamterene	losartan_potassium	felodipine	atenolol	amlodipine_besylate_benazepril_hydrochloride	nebivolol_hydrochloride	hydralazine_hydrochloride	bumetanide	clonidine_hydrochloride	furosemide	amlodipine_besylate_valsartan	atenolol_chlorthalidone	hydrochlorothiazide_spironolactone	olmesartan_medoxomil	bisoprolol_fumarate	hydrochlorothiazide_irbesartan	potassium_chloride	methyldopa	benazepril_hydrochloride_hydrochlorothiazide	carvedilol	chlorthalidone	metoprolol_succinate	metolazone	amlodipine_besylate	verapamil_hydrochloride	sotalol_hydrochloride	nadolol	spironolactone	diltiazem_hydrochloride	amlodipine_besylate_atorvastatin_calcium	candesartan_cilexetil	hydrochlorothiazide	hydrochlorothiazide_lisinopril	quinapril_hydrochloride	enalapril_maleate
Shoshone County,ID	-0.4549401877059508	-1.1689580401523503	-0.5732913719625887	-1.005743959865941	-0.5831613454213798	-0.7953644603492175	-0.6523940617931815	-1.2543072964539685	-0.9903997593696438	-0.3375641342314445	-0.8145446970735936	-1.4516680802389348	-1.4587564868620904	-0.9247194303510468	3.142968831993259	-1.6153338111482143	-0.48165480759340434	-0.6286261654249181	-0.6463271177050358	-0.8726695960903152	-0.8435838915815049	-0.8894543501144325	-1.152765708594178	1.6918207489751722	-0.9673048366559117	-0.833125849912678	-0.4619119771680635	-1.1202195615803907	-0.3599995256018587	-0.8756568497185176	-0.585415283102044	-0.947995636600411	1.9795752695356799	-0.8740405562935729	-0.7577835532320287	-0.5939383696070458	0.34986809426947424	-0.5467978197061778	3.4425458135873788	0.9146985130259649	-0.5172415754814232	-0.7299297084779232	3.5432640249205307	-0.8020860444541098	-0.11595125475156118	-0.7048979953457101	-1.8092195997566898	-1.1118120386682266	-0.5790396562618059	-0.6407883199359226	0.9081466304443608	1.7285562878785086	-0.8578796767106497	-0.6608518009536484	-0.6664695150319635	0.5848018025312729	-0.672956527613994	-0.14459709040275348
Owyhee County,ID	-0.5589839186188759	-1.5580481314100927	7.545629561570829	-1.0644814674061054	-0.6827207942201188	1.2956615275363383	-0.7710039848490506	-1.4686948125651313	-0.46774945175325877	-0.911434769313033	-0.9467086242958781	2.115361881911697	-0.4162708393769313	3.9433091357423478	-1.6530650039684147	-0.2531207995512773	-0.5715268462999926	-0.7390232792353421	3.817785972422272	3.5767503320174368	-0.8956439383690309	-1.0150030188698986	-1.3653803910779385	-0.28776433262184975	1.3725093763300666	-1.0120926438724809	-0.4804036927100163	-1.3546507244809667	-1.1519672262311536	-0.9587515746676212	-0.6789581788230942	0.5851098423526037	-0.044550902907054185	-0.9374659854689066	-0.8937606066391884	-0.6766089333173706	-1.2047953243054823	0.059974503956756485	-1.1070592907817338	0.34748648409018595	-0.9388493291739782	-0.8440168283646011	-0.8434888327295782	-0.18497728330554053	-0.473938963356087	-0.7991314706897672	-0.3813188771328134	-1.2570873039738328	2.4738595133294234	0.13885628082967308	1.6471547422823356	2.1532204148452454	-1.0285864099325086	-0.8067573812801397	0.31527608152705344	0.08357136292452405	-0.8108197958659182	-0.9481024912491108
Payette County,ID	-0.5212032904898097	0.8759244045448552	-0.9610385264484804	-0.3926842378875853	-0.6839722885350931	1.7029057403076158	-0.758568797790397	0.4451248207660685	-0.12269800672892472	0.29397490396360454	-0.10221837907445078	1.3201175773337448	-1.3738831079988307	-1.0531378432209513	-0.40276218526725044	1.7936620114257225	-0.5606135925351388	-0.7389137467903442	-0.7727764653030506	0.7473637135718523	-0.928600569912066	-0.9086294889134621	-0.8417321329429163	-0.6673446021307228	1.5450228083389128	1.822839921880234	-1.620444555486401	1.3444350046254288	0.3104351099250288	0.5965970470953209	2.873406429948537	0.7474862167206162	2.657996051053198	-0.9576848216569186	-0.8714581045326112	-0.6919420094788156	-0.6306871132427332	0.4279083507659704	0.7191762061170961	0.8623637983970629	2.576054906815579	-0.8184059431383727	0.7185470356780248	-0.44530362330242884	-0.026882035283027513	-0.2899976752120427	-0.3416019409402647	0.08093057866639404	-0.6947230349549938	-0.8007560153997603	1.6526615024134446	0.20685385275317866	-0.9774935239738778	-0.7906562368741685	-0.7741899582278812	-0.5653300728516817	-0.7648818863736826	-0.5769012880444344
Yuba County,CA	-0.2277861095105585	-0.5410120990578486	-0.11629799923463957	-0.7585394762485824	-1.2913503646734221	-0.8983336619928948	-1.0441465109452124	1.697262799025744	-0.46681773802954546	-0.8154636181437943	-1.1983774641643588	1.9512065604498918	-0.9944636812423735	-0.4520830912611125	0.7081569434835832	0.1413914559258684	0.2649888738338435	-0.6808281430370515	0.20737237658920477	-0.6436541168540421	-1.4372639922479917	-0.6677044779534276	-1.0613214062673988	-0.8819594929320426	-0.3047551443474916	-0.8800485693384519	-0.5136452900450728	1.0950164285014183	-0.2989696433325579	1.5136095061713017	-1.1172516248581323	0.89261524257741	0.40341272112000864	1.51599839805744	-0.17910017991394683	-0.5997910710456751	-0.5091799969111902	-0.6981149936592657	-1.329613330472521	0.03412125927348912	-0.592714522554591	-0.9079301385208239	-0.1445617361221656	0.1497370072075541	-0.6915600312767807	0.07470039292014398	0.24033204060354008	-0.013053386756646423	0.8890637677427342	-0.9403269827646298	-0.929865569010027	-0.6492226593992292	-1.4172257639283725	-0.722287381287545	-0.7184607439369172	-0.9891079136750066	-1.3758414678912168	-0.3973733712364596
Ventura County,CA	0.4871670220510606	0.11491104186001622	0.7993617422405891	-0.20274143502026135	-0.5248172508243002	-0.823085994739922	-0.8375619071564057	-0.08480657398814358	0.6631315070450255	-1.0071335006015572	0.012913846234079472	0.8076110761327769	-1.24574985042849	-0.7416867509750434	0.11631359654921113	-0.8686350144539458	0.6059850384127196	-1.0137993329118513	0.5225571209938847	-1.0508129755591447	-0.9118019161554618	1.613572733583172	-1.4242423933602164	0.19198014734817584	0.4458355432601251	-0.28158900535009534	0.6592035135059244	-0.2940408716130187	-0.28414425619221484	-0.5688834312790947	-0.8918881562526958	-0.3437818888053368	-1.3863648332526486	0.2762289323454016	-0.5044360190919105	0.5305086667791497	-0.7942597612294884	-0.2624732928648081	-1.75033204968646	-0.9619841877138134	0.7003952036221285	0.8463274556833191	-0.48631014425601643	-0.7925735439608389	-0.2900414200588845	-0.6904063491185757	-0.5477527938744333	-0.5164388118955013	-0.3964825750893158	-0.8611286057345774	0.8736427448706466	-0.44033610840791126	-0.45881764220240606	0.11100348000915435	-1.0474074894145524	-1.6427495145436277	-0.07268228609380002	-1.0956826932064683
Yolo County,CA	0.11246062962881884	0.06556594567204302	-0.13141827277390397	0.0800141236203948	-0.7641995132090147	-1.0246235521711873	-0.773238270388955	-1.057335649148759	-0.9455549165412755	-0.7188917298612062	-0.04596332893372829	-0.14615176652384923	-1.5355152186559968	-0.46671983430362335	1.8135766973569711	-0.45896138285363114	-0.4102174947691065	-0.5466219609423868	-0.2420730915163022	0.057188983152208314	-1.3440112473596175	1.0534381527236687	-1.4907181833261112	-0.3540933274723012	-0.32346071775106555	1.4045778994553069	1.3717689090143137	-1.3459006488404035	-1.2675571738779965	-0.37611010296967073	-0.5240453340079598	-0.48840030643174154	-0.9479642026221904	-1.0290127638591897	-0.4567695140986708	0.7159446867435635	-1.1566582085423112	-0.4280062460822188	-0.9622289362873467	-0.6170065988701633	-0.30214900623494223	-0.44332183202331343	-0.8396285212019471	-0.08844353249891752	-0.7884936895494042	-0.27956638155787245	-0.6848243535745207	0.5681939297463495	0.0167087645255725	-0.4856487426219987	0.23948322942256325	-0.07580217437443713	-1.1011485213596501	-0.720793214667983	-0.2389660057011983	-0.1804024903023949	-0.8438489983390822	-0.7184588200057773
Macon County,AL	-0.817015794361706	0.4893849183918964	0.3795887960135948	-0.9770187015791715	2.1572321524531213	-0.23072499495056692	-0.29967185512541233	1.1655686645010832	-0.5616794151893276	1.1482378861216422	1.082838446906059	0.8316618686711438	2.9108333150207994	0.656602245354896	-0.944726449563155	-0.006187107499285318	-0.8183975801569731	0.21972003104628832	0.02830593345539616	-0.07758533646145589	0.1288586642522292	-0.5298092845348975	-1.2578557853740653	-0.3860447994232027	1.3273067581068583	-0.5825765722242788	0.8616791287078279	1.2045445390428635	-1.0449190650633	-0.42924784632233587	-1.1541510475776362	2.5071197934919653	0.6762657764167203	0.8133598244891613	0.004845083105477684	5.014660521906394	-0.36486485912923866	-1.0082757128658073	0.28110182948837775	3.1898038311509316	0.7553022535006035	0.2148136650689027	1.5171628033173934	0.10907806876684245	1.0015368592000307	-0.5026078177975117	2.3664319915751757	0.8295551590676131	-1.1500211787538779	-0.1508858469718498	0.6577919405224242	0.8760349170812581	0.17966329642593104	-0.4249075820498136	1.6755712403337655	0.9195839904791643	1.3372808854459564	0.06134447158436502
Frederick County,VA	0.005938282647973001	-1.4954997054825472	-1.2203925558587503	2.461288437938099	0.008439621288381022	-1.3730609892431478	-0.6537354011612901	0.37472198006468843	-0.12439283769754395	-0.15870082739521651	-1.0058917645046561	0.020874094499102585	-0.7240937518562779	-0.04997938112059916	1.7203857015565784	-0.4370225500859654	-0.9530999064626052	-1.0439896028754487	-0.9797528055520728	0.22180019779412513	0.8649646894225331	-1.056991735167676	-0.17866369750181663	-0.722664193008536	0.3624803923453495	-1.6361923631952784	-1.5217626456107665	-0.8064290380100803	1.348813897006618	-0.5009102549063214	1.174785209520198	0.21305982681480062	-0.04798063338536942	0.12565819073352527	-1.5123512253988307	0.7342859197138807	1.0138308181719484	-1.147449866990877	-1.194679879566029	-0.08035858774625192	-0.6795775961820609	-1.1855553754790609	0.6967179829459333	-0.3813928501952891	0.3919194221583581	-0.16224553860476718	-0.8458782869090996	0.904242318466462	-0.4259296611616368	-0.2865827326037259	-0.6817169360937929	-0.14428170678898367	-1.5500155209804034	-0.2665010009859487	-0.08513382732311733	-0.5316720430484225	-0.35738608160697777	1.2343595322457217
Miami County,OH	-0.024817453847496663	-1.482288897646324	-1.0105115889183782	0.14406260798322665	-0.3910319360800133	-0.4055308252359376	0.5372422268384941	-0.6954579277273953	-0.8487164477058889	1.1230360714979786	-0.23771510921927047	-0.554061653670238	-1.4030571676014552	-1.1254881231668625	-0.922531514957701	0.820942499060381	-0.9561940763994323	-0.42003509979061043	-0.3871806889000033	-0.31312759185673655	-1.9892357604974178	0.3743830710301854	-1.2078318449901857	-0.6159050667958261	0.12370889605540195	0.9693135265389096	-0.7481811536480986	-1.114847777426175	-1.814665814925723	-1.4659192146551783	-0.13684965524451823	-0.33982389345769537	-0.32358171048013484	-1.160707181552692	-0.6960164687337093	0.8883646443459967	-1.67476468709677	0.19875121078832592	-1.566518702417505	-0.2908762658283504	-1.221932591780705	-0.4642805723407336	-0.12555436161008304	-0.467621880950508	0.6717883918827057	0.2071577950141793	-0.40063904822317054	-0.7514390347967812	2.1898858095804536	1.9601423001204208	-0.4752758943774829	-0.601714120645025	-1.2072586604784725	-0.029475489079777883	0.719495851754605	0.16419426726786165	-1.102548769725372	-1.059049680491365
Pottawattamie County,IA	0.28229284717238595	0.25379124198103603	-0.17729575146241416	2.2165573244693406	-1.2529088602304543	1.6175227881792766	0.07088087339084868	-1.6158310618768834	0.7817184797819874	1.5420349443055787	2.6683681789753213	-0.1534043351453684	-0.27714173694502	-1.196039390677716	0.6709795445258878	0.6140101040469748	-1.0297929863153972	0.7378482670852244	-1.0222606065408024	0.45452400988464947	-1.2151925411599462	0.5258089497706263	0.20292691392138693	1.826436867241359	0.05889710377915902	-0.4149441998707922	-0.9981249702439035	-1.1501436233619418	-1.2104916004680657	-0.6584919939710783	0.8745371121722364	0.4152203278651142	0.7766352191141425	-0.6280545174942439	-1.6074313288682351	-0.610245881170286	1.5315593472734506	-1.01868071618658	-1.2920945954136585	0.8416489165937637	-1.1926790191368766	1.7033441787408639	-0.12849920265145512	0.22877621296002656	0.24603890757919192	2.0153057381279775	0.21964906473694829	0.8232591716229737	-1.197446635615278	2.1586007739775974	-0.8167612754115409	-0.9188619130926938	-0.8830818985268911	0.998698817044141	-0.3132687971106423	0.4155612627184174	0.5306181995865467	-0.9608737650848674
